,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
io_low,3.0,4.29,1.0,1.43,66.0,94.29
netbandwidth_high,3.0,4.29,1.0,1.43,66.0,94.29
netdelay_high,12.0,17.14,0.0,0.0,58.0,82.86
netbandwidth_low,0.0,0.0,3.0,4.29,67.0,95.71
cpu_high,0.0,0.0,3.0,4.29,67.0,95.71
cpu_low,0.0,0.0,3.0,4.29,67.0,95.71
io_high,0.0,0.0,0.0,0.0,70.0,100.0
netbandwidth_medium,0.0,0.0,3.0,4.29,67.0,95.71
io_medium,0.0,0.0,0.0,0.0,70.0,100.0
cpu_medium,0.0,0.0,3.0,4.29,67.0,95.71
ram_medium,0.0,0.0,3.0,4.29,67.0,95.71
ram_high,3.0,4.29,0.0,0.0,67.0,95.71
netpgk_high,4.0,5.71,11.0,15.71,55.0,78.57
netpgk_medium,1.0,1.43,4.0,5.71,65.0,92.86
netdelay_low,0.0,0.0,3.0,4.29,67.0,95.71
ram_low,3.0,4.29,0.0,0.0,67.0,95.71
netpgk_low,0.0,0.0,3.0,4.29,67.0,95.71
netdelay_medium,4.0,5.71,3.0,4.29,63.0,90.0
